"id" "enroll" "age" "female" "enrollPromoValue"
357193 0 20 0 0
121724 0 43 0 0
896825 0 45 0 0
354357 1 22 0 7
529144 1 20 0 0
564094 1 23 1 5
551488 1 51 0 7
195342 0 49 0 3
576479 1 50 0 3
752711 1 19 0 0
347375 0 22 0 0
147572 0 38 1 0
807065 1 22 0 3
860898 0 45 1 0
118585 1 45 1 3
240535 0 47 0 0
817884 0 41 0 3
241003 1 37 1 7
223300 0 35 1 0
405068 0 19 0 3
242970 0 26 1 7
340994 1 31 1 0
227166 0 38 1 3
752269 0 46 0 0
820285 0 34 0 0
289048 0 43 1 0
444582 0 37 0 0
145487 0 47 1 0
589933 1 51 0 5
604007 0 34 1 0
639596 0 30 0 0
765241 1 52 0 0
124958 0 26 0 0
117748 0 48 0 0
800239 0 29 0 5
622749 1 39 0 3
476831 0 32 0 3
424982 0 28 1 0
695537 1 28 1 3
651477 0 53 1 0
348223 0 41 0 5
281706 0 21 0 3
423687 1 52 0 3
488975 0 51 0 0
711961 0 52 0 0
669643 0 45 1 3
316699 0 43 1 0
680211 1 39 1 0
192632 1 33 0 3
766549 0 50 0 3
836693 0 21 0 0
307586 1 28 1 5
418073 0 24 0 0
200842 1 46 1 0
437316 0 22 0 0
489411 1 24 1 0
780050 0 36 1 0
133791 1 18 1 0
175706 1 54 0 3
450775 0 22 0 0
797803 1 21 1 7
447358 0 30 0 0
615054 0 22 1 0
541267 0 54 0 0
812510 1 33 1 3
349108 0 27 0 0
455057 1 31 0 0
127490 0 24 1 3
827623 1 29 1 0
199686 1 27 0 5
113782 0 24 1 0
488728 0 19 0 5
467380 0 48 1 0
591530 0 39 0 0
694503 0 39 0 0
809355 0 44 0 5
649551 1 20 1 5
518006 0 37 0 0
244833 0 32 1 3
760607 1 34 0 7
250920 0 38 1 0
712781 0 42 1 3
823077 0 47 1 0
278032 0 49 0 0
622851 1 21 1 3
232565 0 50 0 0
102824 0 53 1 3
200249 0 52 0 0
737677 0 20 0 0
518130 0 27 1 0
694141 1 36 1 0
549026 0 22 0 0
171512 0 25 0 3
460999 1 26 1 5
498690 1 26 0 3
270638 0 19 0 3
736384 0 27 1 0
259525 0 22 0 0
152150 1 28 0 5
337552 0 44 0 3
761105 1 28 1 3
332277 0 42 1 0
388361 0 26 1 0
535680 1 18 1 7
505471 0 22 0 3
601348 1 29 0 0
634357 0 34 0 0
159140 0 44 0 0
466389 0 19 0 7
258648 0 53 0 0
773800 1 48 1 7
802129 0 52 0 3
630530 1 29 0 0
576686 1 30 1 0
533326 0 23 0 0
495565 1 53 1 0
763397 1 27 1 3
656828 0 19 1 0
709252 1 20 1 0
728507 0 53 0 3
328441 0 19 0 7
344073 0 48 1 0
415978 1 44 1 0
826882 0 32 0 0
441236 0 32 0 3
322701 1 54 1 0
102516 0 26 0 0
501878 0 39 1 0
566654 0 54 1 0
601942 1 39 0 0
238299 0 41 0 0
192962 0 47 0 0
660152 1 50 0 0
563609 1 20 1 3
399480 0 51 0 7
747546 0 25 0 0
636009 0 32 1 0
579873 0 36 0 0
360008 1 32 0 7
175440 0 44 0 0
351260 0 45 1 3
310074 1 29 0 3
455467 1 54 1 0
672541 0 27 1 0
342627 1 49 1 3
745915 0 32 1 0
608880 0 52 1 0
655874 1 40 0 3
615693 0 40 1 0
334503 1 51 1 5
199719 0 54 0 3
297416 0 43 0 0
254345 0 21 1 0
531229 0 47 1 0
210966 0 37 0 0
259291 0 42 0 0
639638 0 31 1 0
790342 0 29 0 0
789527 0 47 1 0
134170 0 30 1 0
157526 0 36 1 0
222592 1 23 1 5
750862 0 42 0 0
266877 0 47 0 3
503066 1 52 1 5
108895 0 28 0 0
114634 0 37 0 0
379926 0 50 0 0
121781 1 24 0 3
621536 0 42 1 0
608756 1 49 1 3
629657 1 54 0 5
281625 0 24 1 5
876860 0 44 0 0
411774 1 22 0 0
401463 1 33 1 5
199123 0 29 0 3
375769 0 31 0 3
143934 0 24 0 3
544285 0 38 1 7
834089 0 47 1 0
881386 1 50 0 0
765462 0 30 1 5
257264 1 37 1 0
339830 0 32 0 5
312560 1 34 1 0
373572 1 45 0 3
444764 1 18 1 3
742437 1 20 1 7
279808 0 32 0 0
739215 0 42 0 3
624470 0 38 0 0
510380 0 40 1 0
371509 1 47 0 7
176511 1 37 0 0
408254 0 40 0 0
450053 1 50 1 0
680569 1 51 1 5
134551 1 53 0 0
787167 1 49 1 3
247147 0 48 0 0
707302 0 49 0 0
470679 0 52 1 0
297750 0 45 0 0
581840 0 52 1 0
408645 1 47 0 0
198019 0 26 0 0
475723 0 19 1 0
789677 0 32 0 0
324998 1 52 0 3
578755 1 49 1 7
610280 0 51 1 0
330061 1 44 0 3
712496 1 53 0 7
466966 1 32 1 5
255305 0 36 0 0
173462 0 46 0 3
763617 1 46 0 7
686051 1 28 1 7
277239 1 19 1 0
207624 0 25 1 0
489635 0 37 0 0
647175 1 31 1 0
690718 1 20 1 0
637247 1 44 0 7
703972 0 52 1 0
756185 0 35 1 0
728246 0 50 1 0
681907 1 46 0 0
858560 0 32 1 5
141664 0 41 0 0
488105 0 47 0 0
826890 0 32 1 0
880586 0 23 0 3
627405 0 28 1 0
771982 1 37 1 3
208206 0 40 0 3
690276 0 51 0 0
418050 1 30 1 0
421536 0 33 0 0
229141 0 20 1 0
501241 0 36 1 0
367521 1 46 1 7
679768 0 34 1 0
342730 0 35 1 0
258856 1 45 0 0
788042 1 29 1 0
245641 0 24 0 0
593984 1 37 1 0
218266 1 25 0 7
863317 1 30 1 3
476568 0 19 0 7
470899 0 50 1 0
419431 0 42 0 3
844362 0 30 0 0
781062 0 29 0 0
320047 0 43 1 0
863892 1 33 1 0
374200 0 43 0 0
611968 1 20 1 7
382664 0 36 1 0
478615 0 47 0 0
122765 0 52 0 0
120014 1 19 0 3
115512 0 24 0 3
775754 1 42 0 0
866731 0 51 1 0
710128 1 52 0 3
325503 0 35 0 3
152206 0 19 1 0
196272 0 42 1 0
632108 0 24 0 0
582105 0 19 0 0
459776 0 41 1 0
873665 0 19 0 0
887594 0 22 0 0
797630 0 53 0 0
363350 0 53 0 0
633610 0 41 1 0
594267 0 22 0 3
277219 0 44 1 0
615907 1 51 1 0
220344 1 45 0 5
263787 0 30 0 0
412750 1 41 1 0
750934 0 46 1 0
525847 0 21 0 0
354828 1 42 1 0
332155 0 33 0 0
138870 0 47 0 0
257716 1 41 1 0
463278 0 19 0 0
494172 0 52 1 7
704039 0 23 0 0
346238 0 21 0 0
328832 1 26 1 3
456678 0 18 0 0
851078 0 48 0 0
703187 1 22 0 0
534395 0 30 0 7
141696 0 21 0 3
277938 0 54 1 0
606178 0 50 0 0
212179 0 36 0 0
670851 0 28 0 0
252240 1 29 1 7
837625 0 20 1 0
381810 1 54 1 5
472587 0 39 1 0
428505 0 36 0 0
850282 1 43 1 0
805804 0 38 0 0
635027 0 36 0 5
317883 1 39 1 3
241343 0 49 1 0
458381 0 20 1 0
208073 0 48 0 0
177134 0 31 0 0
663310 1 27 1 7
746144 0 35 0 3
516778 1 39 0 3
403383 0 27 1 0
323815 0 25 0 0
460138 1 44 0 7
347729 0 53 0 5
493241 1 35 0 7
272050 1 27 1 5
618815 0 25 0 3
466057 0 48 0 0
747326 0 44 1 3
750667 1 34 1 7
647902 0 21 0 0
482364 1 26 1 0
714306 0 25 1 5
167254 0 36 1 0
200093 0 32 1 0
719102 0 44 0 0
409993 0 38 0 0
433712 0 33 0 0
402957 0 29 1 7
496514 1 40 1 7
264891 0 19 1 0
385360 0 33 0 0
327568 0 35 1 0
222532 1 44 0 3
147355 0 51 0 0
676466 0 55 0 0
202489 1 18 0 0
853625 0 47 1 0
197691 0 46 1 3
474398 0 33 1 0
899597 1 50 1 0
359483 1 29 1 3
224259 1 40 0 0
264216 0 51 0 7
770676 0 36 0 0
809367 1 45 1 5
875600 0 52 1 0
111481 1 41 1 5
674354 0 37 1 0
730683 0 29 0 0
465470 0 18 1 0
219544 0 54 1 5
641200 0 47 1 0
364201 1 41 1 0
833573 0 51 1 5
350152 0 29 1 0
711630 0 48 0 3
615686 0 23 1 3
112725 0 44 1 0
332998 1 49 1 0
294734 0 43 1 0
328419 1 44 0 7
407820 0 42 1 0
850180 0 54 1 0
898477 1 44 0 0
524137 1 50 1 0
214932 1 52 0 5
648339 0 21 0 0
344706 1 22 0 0
238412 1 47 0 0
217378 0 36 0 0
381557 0 25 0 3
216682 1 43 1 7
386099 0 39 1 0
133535 1 48 1 0
374590 0 30 0 3
492560 1 21 1 5
685131 1 35 1 0
749195 0 28 1 7
415676 0 41 0 0
368438 0 18 0 0
474816 1 48 1 7
257484 0 40 0 0
676289 0 43 1 0
275258 0 32 1 0
588656 1 32 1 3
393005 0 27 1 0
336553 0 28 1 0
823989 0 34 0 0
869605 1 43 0 3
888015 0 51 0 0
334603 1 53 0 7
717156 0 52 0 5
583416 1 51 0 7
621119 0 31 0 3
212980 0 39 0 0
156272 0 22 0 3
164119 0 27 1 0
149629 1 23 0 7
637343 1 48 1 7
588986 0 48 1 0
210054 0 26 0 3
640042 1 23 0 3
194374 1 44 1 3
279909 0 41 0 0
297924 0 41 0 0
217746 0 50 0 0
163262 1 26 1 3
488495 1 45 1 5
427156 0 23 1 0
704819 0 32 1 0
355435 0 30 0 3
676627 0 37 1 0
787147 0 34 0 0
112419 0 52 1 0
841651 0 52 1 0
513442 1 41 0 7
800807 1 38 0 5
612785 1 20 1 5
759910 1 33 1 7
191386 0 54 0 0
286751 0 25 0 0
291307 0 32 1 0
479534 0 50 0 0
617840 1 25 0 5
170869 1 39 1 3
270343 0 34 1 0
685956 0 28 1 0
414035 0 45 1 7
159577 0 41 1 0
435700 0 54 1 0
447803 0 25 0 0
640260 0 42 0 3
386076 0 30 0 0
541778 0 46 0 0
340034 0 31 0 0
614877 0 19 0 7
570589 0 26 1 0
421286 0 34 1 0
868663 0 28 0 7
787330 0 40 0 0
581423 0 49 0 0
107987 0 54 1 0
660803 0 37 0 0
198406 0 31 1 3
257101 0 19 1 0
834308 1 37 0 7
553488 1 27 0 3
777421 1 46 0 0
607727 0 42 0 0
472834 0 38 1 0
149724 0 43 1 0
677774 0 51 1 0
608663 0 20 0 0
897920 1 41 1 7
225161 0 37 1 3
792139 0 50 1 0
320807 0 27 1 0
460573 0 23 0 3
652959 0 31 1 0
103341 1 44 0 7
812015 1 25 0 3
520069 1 50 1 0
169093 1 45 0 0
524929 0 48 0 0
290576 0 27 0 5
892811 0 37 1 0
877099 0 31 1 0
726776 1 49 1 3
773192 0 39 0 3
142686 1 50 1 0
696128 1 54 1 5
229629 1 37 1 7
554308 0 35 1 0
731889 0 22 1 0
373073 0 21 0 0
288589 0 55 0 0
558761 1 45 0 5
366475 0 48 1 0
445197 0 48 0 0
473184 1 40 1 7
501132 1 49 1 0
652000 1 41 0 0
394392 0 26 0 0
858361 0 25 1 0
474570 0 28 1 0
898514 0 38 1 0
493784 0 26 0 5
775183 1 35 0 0
355120 0 21 1 0
752746 0 43 1 3
562972 0 43 1 3
585839 1 52 1 3
441904 0 40 0 0
312829 1 44 1 7
197931 0 27 0 0
691995 1 21 0 5
477089 1 52 0 3
506630 0 47 0 0
558699 1 32 0 5
522285 1 54 1 0
556225 1 24 1 0
414805 1 42 1 3
447824 1 22 0 3
134180 0 53 1 0
169255 1 23 1 3
199885 0 26 0 0
210551 0 41 0 0
681424 0 32 0 3
253478 1 22 0 5
336907 1 39 1 3
313013 0 52 1 0
888212 0 50 0 0
178052 1 42 1 0
195928 1 39 1 7
356612 1 49 1 5
832405 0 25 1 3
829530 1 51 1 7
387006 1 20 0 7
807647 1 22 0 3
120498 0 37 1 0
437613 0 29 0 0
817626 0 52 1 0
439011 0 31 0 0
346419 0 51 1 0
674253 1 33 0 0
835909 0 49 1 0
437797 0 45 1 0
789131 1 49 0 3
209447 0 49 1 0
862104 1 44 0 7
354610 0 44 0 3
106864 0 30 1 0
393400 1 38 1 0
185228 0 38 0 0
381845 1 36 1 7
592556 0 31 0 0
570173 0 22 0 0
345078 0 49 1 3
136744 1 35 1 5
507267 0 35 0 0
493880 0 55 0 0
265859 1 37 0 7
600754 0 55 0 3
554417 0 39 0 0
872878 0 43 0 0
608078 0 46 0 0
332637 1 54 0 5
344153 1 35 0 5
885724 1 43 0 3
873777 0 19 1 0
398693 0 43 1 0
119462 0 35 1 3
110657 1 22 1 7
778118 0 42 1 3
542237 0 44 0 0
312932 1 46 0 3
286909 0 42 0 0
357680 0 19 0 7
193920 1 40 1 0
818025 0 46 0 0
562250 1 20 1 0
686796 0 52 1 0
269365 0 41 0 5
627508 1 42 0 0
159785 1 23 1 3
313093 0 49 0 0
824582 1 29 1 5
867510 1 40 1 3
319928 1 29 0 0
899899 1 38 0 7
144543 0 48 1 3
835055 0 27 1 0
892214 0 53 0 0
193498 0 26 1 0
559793 0 47 0 0
429323 0 21 0 0
133925 0 31 1 7
223568 1 49 0 3
788597 0 33 1 0
193163 0 22 0 0
572484 1 48 1 3
374344 1 33 0 3
513601 0 33 1 5
399854 1 43 0 3
122265 0 31 1 0
315886 0 46 1 0
178199 0 23 1 0
216082 0 22 1 0
732568 1 21 0 5
361593 0 52 0 7
428935 1 46 1 0
270358 0 23 1 3
383391 1 37 1 7
711776 0 24 1 7
353131 0 38 1 0
641866 0 18 1 0
379105 1 35 0 7
115796 0 45 0 0
290186 1 46 1 7
893213 0 26 1 0
336913 1 48 0 0
876477 0 33 1 0
806140 1 22 0 3
113463 0 26 0 0
276196 0 35 0 0
547154 0 40 1 0
849123 0 27 1 3
577532 0 52 1 0
771688 1 43 1 5
575300 1 31 1 0
460483 1 51 1 0
284720 1 41 0 0
736485 0 51 0 0
717322 0 27 0 3
695827 0 21 0 0
883923 1 26 1 3
730041 0 36 1 0
244134 1 47 0 7
794261 1 23 1 5
168057 1 53 0 0
322348 0 49 1 0
107850 1 35 1 5
183967 0 42 1 0
538985 0 41 0 0
169117 0 29 1 0
831709 0 37 0 0
732369 0 52 0 3
122737 0 54 1 3
894534 1 22 0 7
560939 0 32 0 0
412094 0 48 0 7
510456 0 44 0 0
313109 1 27 0 3
142461 1 50 1 0
524274 0 53 0 0
158842 0 32 0 5
394106 1 48 0 3
778971 1 21 1 7
396618 0 23 1 3
800240 0 39 1 5
777942 0 36 0 0
743731 1 42 0 0
568146 0 46 0 0
860998 0 38 1 0
209092 0 41 0 0
102630 0 28 0 0
501277 1 49 1 3
310531 1 42 1 5
184199 0 25 0 0
612699 1 47 1 3
188431 0 41 1 0
756876 0 40 0 3
124786 0 37 1 0
863028 0 46 0 0
154915 1 30 1 7
768748 0 36 1 0
475668 0 54 0 0
872236 1 21 1 3
615912 1 26 1 3
292355 0 50 1 0
160484 1 38 1 5
304240 1 38 0 0
137292 0 34 1 0
781121 0 37 0 0
196512 0 43 1 0
396254 0 18 1 0
441547 0 19 0 0
746800 0 24 1 0
481627 0 47 1 3
139229 1 40 1 3
275660 0 30 0 0
161675 0 23 0 0
452840 0 38 1 0
112502 0 27 0 0
635449 0 47 1 0
842417 1 27 0 0
526324 0 33 0 0
371885 1 21 1 7
547340 0 26 0 0
485702 0 42 1 0
511638 1 51 1 5
462474 1 48 0 0
226524 0 25 1 0
698852 0 44 0 0
228747 1 47 1 3
582269 0 36 0 0
537544 1 31 0 7
764080 0 23 1 0
798139 1 51 0 7
156109 1 31 1 7
547107 0 29 1 3
587461 0 22 0 3
144436 0 39 0 3
539718 0 39 1 0
890329 0 26 1 0
732504 0 35 1 0
238792 1 21 0 7
574085 1 42 0 3
548597 1 48 0 3
158538 0 34 1 0
442439 1 49 1 0
235142 1 39 0 3
693961 0 44 0 0
337546 0 28 0 0
326329 1 53 0 0
600705 0 18 0 0
421169 0 29 1 0
401488 0 32 1 3
640122 0 38 0 0
404377 0 43 0 3
602125 0 19 1 7
362101 1 31 0 3
460436 0 23 1 0
709125 0 39 1 5
291365 0 19 0 0
446901 0 46 1 0
555522 0 37 0 0
332695 0 47 1 0
655796 0 53 1 3
283028 0 20 1 0
786845 1 33 0 3
576129 0 43 0 0
775664 0 36 0 3
421831 0 42 1 0
639088 0 36 0 0
604020 0 26 1 5
301437 0 27 1 0
603100 1 27 1 0
369276 1 41 1 0
594383 1 31 1 0
253530 1 52 0 3
724105 0 48 1 0
242467 0 43 1 0
654058 0 21 1 0
811460 0 53 1 0
383477 0 31 0 5
709942 0 20 0 0
361855 1 46 1 3
336699 1 39 0 0
582944 1 44 0 7
324641 0 37 0 0
680281 0 32 1 0
303311 0 53 0 0
653007 0 42 1 0
599876 1 48 1 0
211982 1 41 1 0
847196 1 41 1 7
655307 0 55 0 0
514613 1 26 0 3
271368 0 32 0 0
158925 1 50 1 5
244377 0 48 0 0
770975 0 40 0 0
409671 1 47 1 0
848500 0 28 0 0
390412 1 36 1 3
614934 1 23 1 5
752646 1 38 1 3
235670 0 39 1 0
681628 0 54 0 5
150530 0 29 1 0
368339 0 31 0 7
255767 1 18 1 3
788465 0 30 0 0
596869 0 32 0 0
403491 1 32 0 3
615346 0 37 1 0
618736 1 43 1 7
438609 0 38 0 7
300972 1 33 1 3
382756 0 21 0 3
312927 0 55 0 0
367773 1 21 1 5
136077 1 29 0 0
893706 0 27 1 3
636982 0 41 1 0
642140 1 43 0 0
736669 0 45 0 0
633587 0 33 0 0
293325 0 19 1 0
157296 0 36 1 7
751188 1 37 1 0
238182 0 35 0 0
533656 1 21 0 3
475212 1 38 1 0
136562 0 19 0 0
600839 1 39 0 5
452248 0 47 0 0
364529 1 42 0 5
448937 0 47 0 0
213456 1 49 0 7
789492 1 43 1 3
697421 0 18 0 0
761158 1 48 1 3
220176 1 26 0 0
563995 1 31 1 7
826574 1 35 1 0
344352 0 33 1 0
571260 0 51 0 0
219356 0 21 0 0
515916 0 35 0 0
679359 1 49 0 7
767947 0 25 0 0
266209 1 19 1 0
746662 1 37 0 7
504128 1 47 1 7
648589 0 47 0 0
123589 0 48 1 3
733234 0 52 1 0
183128 0 43 0 0
648482 1 39 1 3
807614 1 29 1 5
446776 1 52 1 5
375070 0 52 0 0
549613 1 29 1 0
551463 0 38 0 0
460002 0 37 0 0
468448 0 51 0 3
717975 0 30 0 3
122192 1 27 0 7
310094 1 31 1 5
857455 1 37 1 3
510037 1 52 1 0
213364 0 36 0 0
285533 0 20 0 0
362639 1 32 0 5
317327 1 42 1 7
634126 0 49 1 0
611577 1 46 0 7
810137 1 47 0 0
358509 1 26 1 0
326483 1 35 1 0
180599 0 34 1 0
498287 0 21 0 0
704984 0 41 0 0
705173 0 20 1 3
259563 1 26 0 3
488006 1 50 1 0
782333 1 25 0 7
265071 0 41 0 3
792330 0 50 1 0
610017 1 45 1 7
695356 0 27 0 0
278608 0 39 1 0
335849 0 30 1 0
589145 0 25 0 3
864693 0 26 0 0
379413 0 44 1 0
605774 0 28 0 0
450247 0 19 0 0
215150 1 45 0 3
895992 0 41 1 0
727835 0 35 1 0
730758 1 18 0 0
603587 0 50 0 0
657545 1 23 1 3
395245 0 29 0 3
149805 0 50 1 0
120883 0 18 0 0
216707 0 51 1 7
139819 0 22 0 5
354060 0 48 0 0
396047 0 51 0 0
420770 1 51 0 0
449578 0 49 0 0
526307 1 34 0 0
850493 0 52 0 3
342414 1 31 1 7
716662 0 32 1 0
212591 1 23 1 7
132203 0 52 0 7
524503 0 30 1 5
817495 0 24 1 0
490201 0 51 1 3
149779 1 49 0 5
296670 0 32 0 3
281805 0 28 1 0
836017 0 54 1 0
299853 0 32 0 0
604083 0 20 0 0
714794 0 42 0 0
612628 0 32 0 0
799025 0 21 0 0
595450 1 43 1 0
204471 1 47 0 0
274965 0 49 0 0
