"id" "monthlySpend" "avgPrice" "age" "female" "enrollPromoValue"
564094 13.09 5.16 23 1 5
551488 5.51 4.23 51 0 7
195342 97.39 4.11 49 0 3
576479 22.82 5.92 50 0 3
241003 59.05 5.44 37 1 7
242970 190.86 2.92 26 1 7
340994 222.98 6.9 31 1 0
589933 9.04 4.38 51 0 5
800239 35.89 4.36 29 0 5
695537 73.68 4.86 28 1 3
348223 76.55 3.95 41 0 5
423687 9.3 6.02 52 0 3
192632 21.22 5.17 33 0 3
766549 4.79 4.8 50 0 3
175706 2.56 6.95 54 0 3
797803 6.93 6.38 21 1 7
199686 9.45 4.77 27 0 5
488728 33.7 4.76 19 0 5
649551 26.48 6.45 20 1 5
518006 26.06 6.09 37 0 0
760607 1.71 7.13 34 0 7
823077 46.1 4.79 47 1 0
102824 52.73 5.29 53 1 3
200249 148.96 3.65 52 0 0
460999 15.71 5.94 26 1 5
736384 131.18 6.33 27 1 0
152150 3.86 6.92 28 0 5
535680 15.44 4.4 18 1 7
466389 4.3 4.37 19 0 7
773800 23.23 5.24 48 1 7
802129 3.88 6.91 52 0 3
656828 56.91 8.04 19 1 0
441236 4.91 5.77 32 0 3
322701 43.7 7.64 54 1 0
501878 75.75 5.91 39 1 0
601942 57.57 4.43 39 0 0
399480 5.17 7.02 51 0 7
360008 2.59 6.31 32 0 7
310074 10.64 5.01 29 0 3
342627 38.41 5.11 49 1 3
655874 7.65 6.53 40 0 3
334503 198.42 5.01 51 1 5
254345 48.01 6.42 21 1 0
222592 54.28 7.49 23 1 5
503066 259.01 6.07 52 1 5
121781 18.94 4.24 24 0 3
629657 11.74 5.06 54 0 5
281625 119.48 3.91 24 1 5
876860 28.46 6.78 44 0 0
401463 26.95 4.47 33 1 5
199123 24.41 2.97 29 0 3
544285 56.14 7.03 38 1 7
765462 23.39 4.59 30 1 5
339830 4.06 5.37 32 0 5
373572 10.43 5.75 45 0 3
742437 13.22 6.02 20 1 7
739215 13.13 5.01 42 0 3
371509 4.19 5.22 47 0 7
680569 105.42 4.83 51 1 5
787167 68.46 4.31 49 1 3
707302 19.49 4.24 49 0 0
324998 8.95 4.49 52 0 3
578755 82.9 7.48 49 1 7
330061 8.04 5.29 44 0 3
712496 3.68 5.92 53 0 7
466966 93.36 5.81 32 1 5
173462 9.28 5.26 46 0 3
